"Participant","Practice","Block","Trial","Task","Data","Samples","Question","Layout","Distractor","Ctrs","Ans","Vals","Track","Choices","Repetition","Planets","AnsTable","ValsTable","TrackTable","ChoicesTable"
0,"FALSE",3,4,"intersection","low",10,"interpretation","single",0,"AUT;CYP;SWZ;ARB;DNK;VIR;UKR;LBN;MAR;DJI","DJI",61,"","AUT;CYP;SWZ;ARB;DNK;VIR;UKR;LBN;MAR;DJI",4,"Miranda;Achernon;Contraxia;Sarr;Ifni;Zenn;Hesperos;Myrg;Sayshell;Daffath","","","",""
0,"FALSE",3,5,"intersection","low",10,"interpretation","single",0,"CHE;SVK;MEA;BWA;CRI;ETH;LUX;KIR;QAT;TJK","SVK",76,"","CHE;SVK;MEA;BWA;CRI;ETH;LUX;KIR;QAT;TJK",5,"Helicon;Argo;Thar;Gethen;Stent;Pyrassis;Sputa;Kobold;Lemista;Mote Prime","","","",""
0,"FALSE",3,6,"intersection","low",10,"interpretation","single",0,"KWT;AGO;TLS;MAR;PYF;SEN;LTU;DJI;LIC;IRQ","TLS",66,"","KWT;AGO;TLS;MAR;PYF;SEN;LTU;DJI;LIC;IRQ",6,"Blasusarr;Krylor;Formalhaut;Askone;Hope;Dyofor;Tanjent;Konom;Calafia;Kallu","","","",""
0,"FALSE",4,1,"average","low",10,"interpretation","single",0,"PRT;BRN;MLT;NOR;MOZ;OSS;BFA;GMB;MUS;MRT",61.0207526,"","","",1,"Arkanar;Chandilar;Gaolus;Cyberton;Nexon;Baaldur;Odym;Hesperos;Elysia;Bizarro",65,"","","41;51;65;70"
0,"FALSE",4,2,"average","low",10,"interpretation","single",0,"MOZ;SEN;FSM;NOR;GNQ;AZE;GNB;USA;BRB;UZB",60,"","","51;60;69;79",2,"Tekton;Tarnax;Maltus;Karna;Asperta;Ungara;Elysia;Arden;Alpeh;Debstam","","","",""
0,"FALSE",4,3,"average","low",10,"interpretation","single",0,"SST;GAB;SVK;BRA;MDA;RWA;MNE;BFA;TCD;IRN",59,"","","39;49;59;68",3,"Alpeh;Astra;Argo;Pandora;Pacem;Grenda;Mardru;Tanith;Korurgar;Rojira","","","",""
0,"FALSE",4,4,"average","low",10,"interpretation","single",0,"GNB;TUR;GHA;JAM;ATG;OED;HPC;FSM;SDN;ALB",62,"","","46;54;62;70",4,"Helicon;Hesperos;Fluva;Xanth;Zoon;Odym;Ramnos;Clatius;Pacem;Kalanor","","","",""
0,"FALSE",4,5,"average","low",10,"interpretation","single",0,"LMY;LCA;PNG;FIN;TLS;EAS;HUN;GNQ;FRA;KWT",63,"","","44;53;63;74",5,"Olliphane;Quake;Tront;Krolotea;Rigel;Libair;Miranda;Angor;Asperta;Genizee","","","",""
0,"FALSE",4,6,"average","low",10,"interpretation","single",0,"SYR;LTU;CUB;COM;STP;ERI;ECA;LAO;TLS;URY",61,"","","43;52;61;71",6,"Aerie;Erebus;Clatius;Naltor;Karna;Getorin;Talok;Cerdin;Appelax;Tanipal","","","",""
0,"FALSE",5,1,"trendComp","low",10,"interpretation","single",0,"KGZ;HKG;SLE;NER;NAM;BHR;KOR;LVA;CYP;IRL","","","","",1,"Thoron;Burley;Hearth;Dawn;Gethen;Calaton;Lallor;Kithrup;Entem;Lupra","HKG/NAM","","","KOR/CYP;HKG/NAM;IRL/BHR"
0,"FALSE",5,2,"trendComp","low",10,"interpretation","single",0,"VCT;MEX;BRN;SOM;COL;STP;LMC;TUR;PHL;OEC","BRN/SOM","","","BRN/SOM;STP/LMC;TUR/OEC",2,"Avalon;Synnax;Rigel;Livia;Sarkovy;Miranda;Naltor;Zanj;Helicon;Rys","","","",""
0,"FALSE",5,3,"trendComp","low",10,"interpretation","single",0,"CUB;BLR;SSA;THA;ESP;SLE;GNQ;SVK;URY;GMB","ESP/SLE","","","SSA/THA;ESP/SLE;URY/GMB",3,"Procyon;Rhea;Almerac;Hebron;Synnax;Deemi;Takron;Methel;Horst;Kobold","","","",""
0,"FALSE",5,4,"trendComp","low",10,"interpretation","single",0,"MOZ;LBN;BHR;BHS;KGZ;LVA;JPN;DOM;QAT;NZL","JPN/DOM","","","BHR/BHS;KGZ/LVA;JPN/DOM",4,"Aka;Helicon;Baaldur;Comagrave;Titan;Libair;Orando;Achernon;Zenn;Mores","","","",""
0,"FALSE",5,5,"trendComp","low",10,"interpretation","single",0,"MNE;PNG;JAM;KOR;CIV;FRA;TLS;YEM;DJI;EAP","KOR/CIV","","","MNE/PNG;KOR/CIV;FRA/YEM",5,"Formalhaut;Askone;Ungara;Hekla;Miranda;Deemi;Zakkaria;Horst;Appelax;Ryut","","","",""
0,"FALSE",5,6,"trendComp","low",10,"interpretation","single",0,"MRT;GBR;KIR;PRY;LVA;JOR;DJI;CRI;GRC;SLV","JOR/DJI","","","KIR/PRY;JOR/DJI;GRC/SLV",6,"Livia;Asperta;Baaldur;Lemista;Dayan;Rimbor;Krypton;Bismoll;Hadley;Terel","","","",""
0,"FALSE",6,1,"intersection","low",20,"interpretation","single",0,"SOM;SWE;LVA;DZA;ITA;CYP;AFG;PYF;BFA;HKG","HKG",78.44817073,"","SOM;SWE;LVA;DZA;ITA;CYP;AFG;PYF;BFA;HKG",1,"Shwar;Margrave;Santhenar;Bizarro;Garon;Lallor;Hope;Garth;Sark;Arima","DZA",70,"","PYF;AFG;LVA;HKG;SOM;SWE;DZA;CYP;BFA;ITA"
0,"FALSE",6,2,"intersection","low",20,"interpretation","single",0,"MEA;BHR;SVN;DNK;SUR;JOR;MEX;KIR;EUU;AZE;UGA;DOM;BEN;MYS;EMU;ARG;CUB;CZE;HRV;LAO","LAO",67,"","BHR;SVN;KIR;EUU;AZE;UGA;BEN;ARG;CZE;LAO",2,"Kalanor;Thanagar;Rhea;Vonn;Dyofor;Chandilar;Nexon;Achernon;Athshe;Euterpe;Khundia;Sputa;Rigel;Shwar;Colu;Aka;Horlegor;Karna;Kathoon;Eos","","","",""
0,"FALSE",6,3,"intersection","low",20,"interpretation","single",0,"BLR;RWA;SVK;MOZ;EST;PRT;KOR;TCD;BEN;URY;HIC;LBY;BGR;THA;WLD;ARM;YEM;KWT;ECA;KIR","BEN",59,"","RWA;SVK;MOZ;EST;PRT;TCD;BEN;HIC;BGR;KWT",3,"Getorin;Thanagar;Xandar;Sakaar;Synnax;Durla;Tempe;Trigus;Krypton;Samstead;Myrg;Mandel;Blasusarr;Lar;Dayan;Phlon;Rojira;Cuthbert;Helicon;Rexulus","","","",""
0,"FALSE",6,4,"intersection","low",20,"interpretation","single",0,"SLB;HKG;MLT;ALB;SAS;TKM;DOM;IRQ;CMR;SGP;DZA;GTM;UGA;POL;FRA;NCL;PAN;MWI;GUM;UZB","DOM",73,"","SLB;HKG;ALB;SAS;DOM;IRQ;GTM;POL;FRA;GUM",4,"Daxam;Ysmault;Mardru;Thordia;Darbia;Nurag;Ifni;Alpeh;Baronn;Vega;Orando;Derowd;Archos;Eos;Timor;Arkanar;Snatanni;Solaria;Garon;Astra","","","",""
0,"FALSE",6,5,"intersection","low",20,"interpretation","single",0,"UMC;BFA;MNA;GHA;PAN;CMR;UZB;FIN;SSF;BEN;ATG;SSA;LBN;SUR;MYS;GUM;MOZ;GMB;SAS;ESP","GHA",61,"","UMC;BFA;GHA;UZB;SSF;ATG;SUR;MYS;MOZ;GMB",5,"Fafnir;Radole;Marvan;Methel;Hebron;Scylla;Tanith;Libair;Krypton;Urras;Calafia;Wencory;Livia;Cyberton;Rann;Talok;Olliphane;Elysia;Daffath;Sarip","","","",""
0,"FALSE",6,6,"intersection","low",20,"interpretation","single",0,"OMN;VUT;AZE;SUR;LVA;ECS;GEO;ARE;SWE;EMU;BWA;TTO;NIC;PRY;HPC;AGO;HKG;SLB;GAB;JPN","SLB",67,"","OMN;SUR;ECS;ARE;EMU;PRY;HPC;HKG;SLB;JPN",6,"Khondra;Tanith;Slyggia;Dyofor;Rojira;Daffath;Colu;Nexon;Zakkaria;Ciress;Askone;Xanshi;Almerac;Scylla;Thordia;Pitar;Takron;Alphanor;Lumin;Korurgar","","","",""
0,"FALSE",7,1,"average","low",20,"interpretation","single",0,"DEU;PAN;PAK;LCN;TLS;ZMB;IRQ;LVA;GNB;IRL",63.2,"","","",1,"Odym;Asperta;Daribow;Tanjent;Miranda;Getorin;Alaspin;Repler;Hebron;Arkanar",66,"","","43;52;66;76"
0,"FALSE",7,2,"average","low",20,"interpretation","single",0,"SVK;FSM;GUM;UZB;DJI;ETH;CHN;HPC;NGA;VEN;LCN;NAM;NOC;LUX;IDN;KWT;NAC;EAP;SWE;TTO",64,"","","55;64;73;82",2,"Xanth;Sarr;Almerac;Thronn;Repler;Rhea;Werel;Bolovax;Arrarat;Daffath;Giganda;Rokanan;Zoranel;Clatius;Tront;Sayshell;Braal;Archos;Snatanni;Radole","","","",""
0,"FALSE",7,3,"average","low",20,"interpretation","single",0,"SVK;MDG;NIC;NPL;RWA;ARG;MOZ;VCT;CIV;TZA;TCD;SUR;BHS;NGA;GUM;LDC;ZWE;IRQ;BLZ;MNA",58,"","","37;48;58;68",3,"Biot;Darbia;Aoran;Angor;Grenda;Nexon;Kithrup;Tazenda;Zanj;Beta;Hala;Askone;Ramnos;Rhea;Vonn;Daxam;Aachan;Talok;Werel;Mandel","","","",""
0,"FALSE",7,4,"average","low",20,"interpretation","single",0,"QAT;ABW;BFA;BLZ;BLR;ISL;GRD;MLI;MAC;PNG;COD;CPV;ARG;TGO;RUS;MDV;EMU;BRA;HRV;NZL",64,"","","32;43;53;64",4,"Urras;Opal;Teufel;Khondra;Chandilar;Methel;Taur;Beta;Thordia;Tallallame;Askone;Kesuat;Trigus;Tristram;Krelar;Achernon;Sayshell;Lusus;Kreno;Elysia","","","",""
0,"FALSE",7,5,"average","low",20,"interpretation","single",0,"CMR;ETH;NLD;GNB;MMR;NIC;CYP;NOR;LUX;JPN;KEN;FRA;GRC;LKA;GTM;SSF;MRT;UMC;YEM;SLV",63,"","","43;53;63;73",5,"Hekla;Radole;Myar;Ramnos;Thronn;Aka;Delassia;Aachan;Durla;Debstam;Xanth;Zoon;Voreg;Arrarat;Konom;Ciress;Wanda;Ydoc;Vincetori;Nexon","","","",""
0,"FALSE",7,6,"average","low",20,"interpretation","single",0,"BEN;ROU;LCA;ZMB;SLE;MDV;CSS;MWI;ECA;WSM;FIN;CAN;PAK;CPV;WLD;MNA;MLI;SOM;MNG;KOR",59,"","","48;59;69;80",6,"Mandress;Stonus;Tagora;Mote Prime;Ciress;Rhea;Kallu;Timor;Glyptal;Pyrassis;Tanipal;Hearth;Quon;Myrg;Rossem;Garth;Hala;Yaila;Vengar;Kathoon","","","",""
0,"FALSE",8,1,"trendComp","low",20,"interpretation","single",0,"NAC;PAK;PRK;ZMB;NCL;PSS;EST;MEX;LIC;HND","","","","",1,"Kathoon;Alaspin;Rys;Hala;Wencory;Aachan;Myar;Gethen;Terel;Ciress","ZMB/PRK","","","MEX/HND;NCL/PAK;ZMB/PRK"
0,"FALSE",8,2,"trendComp","low",20,"interpretation","single",0,"BRN;TLS;SVK;TTO;BGD;SAS;GTM;PNG;PSS;VEN;LAO;MNA;EMU;HTI;BEN;CPV;HKG;PAK;SLV;LSO","SLV/LSO","","","TLS/SVK;BGD/SAS;PSS/VEN;MNA/EMU;CPV/HKG;SLV/LSO",2,"Korurgar;Ovacron;Calafia;Annubis;Kallu;Arrarat;Rossem;Solaria;Vincetori;Entem;Calaton;Fluva;Myrg;Pitar;Sark;Trom;Repler;Sakaar;Thar;Kithrup","","","",""
0,"FALSE",8,3,"trendComp","low",20,"interpretation","single",0,"BTN;NER;BRA;YEM;MAC;EUU;HIC;COG;CMR;JPN;NAM;LSO;MEX;MEA;GHA;NPL;SLB;VIR;TGO;LDC","VIR/LDC","","","BTN/NER;MAC/EUU;COG/CMR;MEX/MEA;NPL/SLB;VIR/LDC",3,"Almerac;Mogo;Ciress;Tristram;Alphanor;Gaolus;Biot;Bonde;Gaia;Bryak;Galtea;Thronn;Stent;Mesklin;Calafia;Dyofor;Clatius;Graxos;Metaxas;Shokodo","","","",""
0,"FALSE",8,4,"trendComp","low",20,"interpretation","single",0,"TTO;AUS;NGA;STP;ZAF;NOR;COG;LCA;CHI;DEU;KGZ;MNA;TKM;BGD;DOM;HTI;GIN;MOZ","AUS/NGA","","","AUS/NGA;ZAF/NOR;LCA/CHI;TKM/BGD;HTI/GIN;DNK/IRQ",4,"Rann;Locris;Aoran;Tekton;Beta;Daribow;Pyrassis;Galtea;Tront;Tanith;Samstead;Zebron;Bizarro;Krypton;Orsha;Werel;Arden;Ysmault;Taur;Tazenda","","","",""
0,"FALSE",8,5,"trendComp","low",20,"interpretation","single",0,"DNK;GEO;LCN;ATG;MLT;MEA;MEX;DZA;BFA;MNE;AFG;MAC;HND;EMU;EAS;FSM;PAK;ZAF;TUN;GAB","DZA/BFA","","","GEO/LCN;MLT/MEA;DZA/BFA;MAC/EMU;PAK/ZAF;TUN/GAB",5,"Khundia;Anarres;Pyrassis;Kithrup;Titan;Askone;Tanith;Wencory;Marglot;Beta;Tazenda;Garon;Getorin;Daffath;Rossem;Tissa;Quon;Olliphane;Muscaria;Contraxia","","","",""
0,"FALSE",8,6,"trendComp","low",20,"interpretation","single",0,"ARM;GUM;PAN;BTN;BLZ;EAP;HUN;MKD;CSS;ATG;TZA;MDV;ECS;ECA;TON;EUU;ERI;MRT;BFA;GBR","BFA/GBR","","","PAN/BTN;BLZ/EAP;ATG/TZA;ECA/TON;ERI/MRT;BFA/GBR",6,"Getorin;Aachan;Rojira;Takron;Hala;Ixion;Durla;Ramnos;Mandress;Baaldur;Trantor;Krylor;Rossem;Almerac;Thoron;Thronn;Konom;Myrg;Kallu;Helicon","","","",""
